Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
7,feature_gender_identity,Gender Identity,10,0.07039154682743512,0.06679860103100152,0.0035929457964336
7,feature_gender_identity,Gender Identity,11,0.07039154682743512,0.06825282272655495,0.002138724100880174
7,feature_gender_identity,Gender Identity,12,0.07039154682743512,0.06561870265767639,0.004772844169758733
7,feature_gender_identity,Gender Identity,13,0.07039154682743512,0.07081441778143666,-0.0004228709540015363
7,feature_gender_identity,Gender Identity,14,0.07039154682743512,0.06824864167895006,0.002142905148485058
7,feature_gender_identity,Gender Identity,15,0.07039154682743512,0.06700032418981705,0.0033912226376180687
7,feature_gender_identity,Gender Identity,16,0.07039154682743512,0.06905761065881258,0.0013339361686225404
7,feature_gender_identity,Gender Identity,17,0.07039154682743512,0.06714143763968189,0.0032501091877532307
7,feature_gender_identity,Gender Identity,18,0.07039154682743512,0.06626114915567483,0.004130397671760294
7,feature_gender_identity,Gender Identity,19,0.07039154682743512,0.06935254955713213,0.0010389972703029882
7,feature_gender_identity,Gender Identity,20,0.07039154682743512,0.066251877943901,0.00413966888353412
7,feature_gender_identity,Gender Identity,21,0.07039154682743512,0.06418859819931072,0.0062029486281243995
7,feature_gender_identity,Gender Identity,22,0.07039154682743512,0.06757294773381878,0.002818599093616342
7,feature_gender_identity,Gender Identity,23,0.07039154682743512,0.0685669368350314,0.0018246099924037196
7,feature_gender_identity,Gender Identity,24,0.07039154682743512,0.06638542720188638,0.00400611962554874
7,feature_gender_identity,Gender Identity,25,0.07039154682743512,0.0657354497410706,0.004656097086364525
7,feature_gender_identity,Gender Identity,26,0.07039154682743512,0.06851794067968628,0.0018736061477488408
7,feature_gender_identity,Gender Identity,27,0.07039154682743512,0.06340575143722726,0.006985795390207855
7,feature_gender_identity,Gender Identity,28,0.07039154682743512,0.06774413911317495,0.0026474077142601693
7,feature_gender_identity,Gender Identity,29,0.07039154682743512,0.06835182581217221,0.0020397210152629103
7,feature_gender_identity,Gender Identity,30,0.07039154682743512,0.06798080280415052,0.002410744023284603
8,feature_preferred_address_type,Preferred Address Type,1,0.07039154682743512,0.06794122098396405,0.002450325843471074
8,feature_preferred_address_type,Preferred Address Type,2,0.07039154682743512,0.06780415422744296,0.002587392599992161
8,feature_preferred_address_type,Preferred Address Type,3,0.07039154682743512,0.06980943229840031,0.0005821145290348106
8,feature_preferred_address_type,Preferred Address Type,4,0.07039154682743512,0.06878188596916722,0.0016096608582679
8,feature_preferred_address_type,Preferred Address Type,5,0.07039154682743512,0.07008010909416776,0.00031143773326736124
8,feature_preferred_address_type,Preferred Address Type,6,0.07039154682743512,0.06848069697986221,0.0019108498475729069
8,feature_preferred_address_type,Preferred Address Type,7,0.07039154682743512,0.06908812628693611,0.0013034205404990062
8,feature_preferred_address_type,Preferred Address Type,8,0.07039154682743512,0.07115300366349103,-0.0007614568360559126
8,feature_preferred_address_type,Preferred Address Type,9,0.07039154682743512,0.07090492864591368,-0.000513381818478556
8,feature_preferred_address_type,Preferred Address Type,10,0.07039154682743512,0.07190099194111974,-0.0015094451136846154
8,feature_preferred_address_type,Preferred Address Type,11,0.07039154682743512,0.06628081119171222,0.004110735635722895
8,feature_preferred_address_type,Preferred Address Type,12,0.07039154682743512,0.07034399008529994,4.755674213517691e-05
8,feature_preferred_address_type,Preferred Address Type,13,0.07039154682743512,0.06572948731908541,0.004662059508349706
8,feature_preferred_address_type,Preferred Address Type,14,0.07039154682743512,0.06609405391733274,0.004297492910102382
8,feature_preferred_address_type,Preferred Address Type,15,0.07039154682743512,0.07001932703923236,0.00037221978820276
8,feature_preferred_address_type,Preferred Address Type,16,0.07039154682743512,0.07031812635378103,7.342047365409277e-05
8,feature_preferred_address_type,Preferred Address Type,17,0.07039154682743512,0.07036419839556388,2.7348431871243584e-05
8,feature_preferred_address_type,Preferred Address Type,18,0.07039154682743512,0.06895070652778269,0.0014408402996524267
8,feature_preferred_address_type,Preferred Address Type,19,0.07039154682743512,0.06886743658337288,0.0015241102440622378
8,feature_preferred_address_type,Preferred Address Type,20,0.07039154682743512,0.0706484546113458,-0.000256907783910687
