Consensus Rank,Source Feature,Business-Friendly Label,Random Forest Rank,Random Forest Importance Percentage,Permutation Rank,Mean PR AUC Decrease,Lower Percentile (2.5%),Upper Percentile (97.5%),Positive Repeat Percentage,SHAP Rank,Mean Absolute SHAP,SHAP Importance Percentage,Mean Rank,Rank Range,Random Forest Top Four,Permutation Top Four,SHAP Top Four,Top Four Method Count,Stable Positive Permutation,Support Classification
1,feature_gender_identity,Gender Identity,6,3.818658245264113,1,0.0033784287710632347,0.0006369835086192441,0.006648679042775757,96.66666666666667,2,0.0021170864757268744,17.970135413613463,3.0,5,False,True,True,2,True,Consistent Held Out Support
2,donor_age,Donor Age,1,25.219195968240278,7,-0.0012063550764310302,-0.005954802316066668,0.0024749856408826645,33.33333333333333,1,0.0027173687376128184,23.065417848298598,3.0,6,True,False,True,2,False,Model Structure Support Only
3,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,5,4.696957646243296,2,0.002659535753536615,0.0002049328394615118,0.005304692458466693,100.0,6,0.0011885991376705339,10.089000946033746,4.333333333333333,4,False,True,False,1,True,Stable Held Out Support
4,feature_preferred_address_type,Preferred Address Type,7,3.2038568112842127,4,0.0007968922482298843,-0.0032052129927680833,0.004397748724620396,70.0,3,0.001599812416708097,13.57943857950071,4.666666666666667,4,False,True,True,2,False,Moderate Cross Method Support
5,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),2,20.88247980245213,5,0.00035645503476576664,-0.003549911629596721,0.0039643524401391335,60.0,7,0.001083345344471192,9.195591565607163,4.666666666666667,5,True,False,False,1,False,Mixed Support
6,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),3,20.83995830042914,6,0.0002206770325392904,-0.003613043460095375,0.003718668187667548,56.666666666666664,5,0.0012128628966266044,10.29495523230548,4.666666666666667,3,True,False,False,1,False,Mixed Support
7,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),4,18.47008408333689,8,-0.001223466744365242,-0.005063468906135937,0.002596300648861607,30.0,4,0.0013096563159705544,11.116551738966955,5.333333333333333,4,True,False,True,2,False,Model Structure Support Only
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),8,2.8688091427499596,3,0.0014862180435336741,-0.0006027576920657925,0.0033698503755966456,90.0,8,0.0005524068080014244,4.688908675673876,6.333333333333333,5,False,True,False,1,False,Mixed Support
