Bootstrap Iteration,Source Feature,Business-Friendly Label,Mean Absolute SHAP,SHAP Rank,Top Feature
9,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010248080023065789,7,False
9,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001149535144634678,5,False
9,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005241901629729907,8,False
9,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011382352741401852,6,False
9,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012290151620770354,4,True
9,donor_age,Donor Age,0.002700255230591585,1,True
9,feature_gender_identity,Gender Identity,0.0021397350260716915,2,True
9,feature_preferred_address_type,Preferred Address Type,0.0015815884299106133,3,True
10,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010167973068686655,7,False
10,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011436303448672353,6,False
10,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005239886910274382,8,False
10,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011855400564484298,5,False
10,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012541465102782307,4,True
10,donor_age,Donor Age,0.0027086922684241544,1,True
10,feature_gender_identity,Gender Identity,0.0021190671778126354,2,True
10,feature_preferred_address_type,Preferred Address Type,0.001580095941942567,3,True
11,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010796441953425501,7,False
11,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012077176255907416,5,False
11,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000556631524269231,8,False
11,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011946012687664427,6,False
11,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013062001099920914,4,True
11,donor_age,Donor Age,0.0028740406797414437,1,True
11,feature_gender_identity,Gender Identity,0.0021225769384800855,2,True
11,feature_preferred_address_type,Preferred Address Type,0.0016136501730488113,3,True
12,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0012099980911679706,6,False
12,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0013287673699564622,5,False
12,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005594071719205272,8,False
12,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001188434714187632,7,False
12,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013937746509829817,4,True
12,donor_age,Donor Age,0.0027167934548354027,1,True
12,feature_gender_identity,Gender Identity,0.002126809039810304,2,True
12,feature_preferred_address_type,Preferred Address Type,0.0016628110219338314,3,True
13,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009603874407410938,7,False
13,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0010958285112854784,6,False
13,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005526970157598755,8,False
13,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011643666717068507,5,False
13,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012294565439159493,4,True
13,donor_age,Donor Age,0.0027938118661730766,1,True
13,feature_gender_identity,Gender Identity,0.002152747511388138,2,True
13,feature_preferred_address_type,Preferred Address Type,0.0016092347932908386,3,True
14,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010600146532694814,7,False
14,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011849488914211362,5,False
14,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005448126276693207,8,False
14,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011799913695978773,6,False
14,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013239086648846007,4,True
14,donor_age,Donor Age,0.002719319019706086,1,True
14,feature_gender_identity,Gender Identity,0.002137257885079454,2,True
14,feature_preferred_address_type,Preferred Address Type,0.0015647681716525685,3,True
15,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010816027804715815,7,False
15,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012104226047432451,5,False
