Final Test Row Position,Target Actual,feature_past_5yr_total_donation__x__feature_past_5yr_average_donation,feature_past_5yr_total_donation__x__feature_past_5yr_donation_frequency_rate,feature_past_5yr_total_donation__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,feature_past_5yr_total_donation__x__donor_age,feature_past_5yr_total_donation__x__feature_gender_identity,feature_past_5yr_total_donation__x__feature_preferred_address_type,feature_past_5yr_average_donation__x__feature_past_5yr_donation_frequency_rate,feature_past_5yr_average_donation__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_average_donation__x__feature_past_5yr_max_donation,feature_past_5yr_average_donation__x__donor_age,feature_past_5yr_average_donation__x__feature_gender_identity,feature_past_5yr_average_donation__x__feature_preferred_address_type,feature_past_5yr_donation_frequency_rate__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_donation_frequency_rate__x__feature_past_5yr_max_donation,feature_past_5yr_donation_frequency_rate__x__donor_age,feature_past_5yr_donation_frequency_rate__x__feature_gender_identity,feature_past_5yr_donation_frequency_rate__x__feature_preferred_address_type,feature_years_since_last_donation_past_5yr__x__feature_past_5yr_max_donation,feature_years_since_last_donation_past_5yr__x__donor_age,feature_years_since_last_donation_past_5yr__x__feature_gender_identity,feature_years_since_last_donation_past_5yr__x__feature_preferred_address_type,feature_past_5yr_max_donation__x__donor_age,feature_past_5yr_max_donation__x__feature_gender_identity,feature_past_5yr_max_donation__x__feature_preferred_address_type,donor_age__x__feature_gender_identity,donor_age__x__feature_preferred_address_type,feature_gender_identity__x__feature_preferred_address_type
5,1,0.001356576090777066,0.00160036472996328,0.006369254660482966,-0.005985761703206231,0.001095340058628477,-0.0010356447063177058,0.0010191530177205738,0.00035647444949939074,0.008112489742865265,-0.001982659144395979,0.000832949768607237,0.0035122174225327603,0.001017782569375126,-0.0011125295539359229,0.0007684781911797461,-0.0004040631641313368,-0.0006473950928719188,0.0005458232248430869,0.0077536377462713475,-0.0016977757854772125,-5.098405512981468e-06,0.0007817416075270494,0.00044766309021938177,-0.0009142912114791515,0.00030528193659872676,0.0002892556006906767,-0.0007613812546928653,-0.0003794998137486455
11,0,-0.000727219648230158,-0.0003991811777933738,0.0011559369391643004,-0.00853727230650831,0.0012267336508777831,0.0024740961992533506,0.0009022925996267172,-0.0007436378126012681,-0.00041682983651385115,-0.004709670958102439,0.0009550280599563484,-0.0022908998806043615,0.0007093772545599986,-0.00023837317999716943,0.0007288344656389423,0.00011876651446846689,0.0005545498139147654,0.0005700537314400079,-0.00239554133868929,-0.000552500876720265,0.0004871559960810928,0.00046516161489843514,0.0008114840075453473,0.0016615205529920572,0.00015371958667947344,-0.0006313132450821478,-0.00033434234875266857,0.00024471712600544537
13,0,0.0003550358561175942,0.0017371974938885503,0.0030938536772392826,-0.005050649470380882,0.00011791038250936813,-0.0007182515233074596,-0.0031500465576875156,-8.74481811056984e-05,0.0064445384915448435,-0.0026121015148805617,0.00021447883600160295,0.0019114966136913887,-0.002637224341053609,-0.0017604360036533406,-0.0004092386004544268,-5.4564627267761124e-05,-0.00047077016172214416,-0.0029458984236241455,0.007090737194264247,0.00046716529024420954,0.000738814283365413,-0.003365156578430181,0.00017497688301555241,-0.0011290538660552929,5.883498947212068e-05,0.00013644291411409035,-0.0004309483827263886,0.0022026077221419657
15,0,0.00013960540467981898,-0.01307147707008358,0.00046773493838929393,-0.006169337764688079,0.0001061296747410299,0.002341682523372273,0.000685236743174348,-0.009885511404184496,-0.0009929540851950323,-0.0026485501786511836,0.00013787770683874922,-0.002165389730749516,0.0005243373006498432,-0.0017170440768758091,-0.0057907025572542575,-6.252763220953994e-06,0.000848171414876524,0.00031636574288210396,-0.002765282625134211,5.650005822182951e-05,0.00015221868054446594,0.0003391731579653256,2.3476677505179705e-05,0.0015008585026192746,4.456565875931924e-05,-7.471581715015295e-05,6.230816133884285e-05,0.00023656977726278574
17,0,-0.013447199802287028,-0.012106555653105212,0.0007634699828679199,-0.010063647310938797,9.48764512558903e-05,0.0017097184027005006,0.0006188884221877684,-0.00899926701017601,-0.0008429175692607775,-0.005709045245636473,0.00010505980428886733,-0.002578880860556903,0.0002747806047893196,-0.0016858449110890665,-0.007145043879261202,2.6700119084562508e-06,0.0008167669097315603,0.00030992066721975675,-0.002144664538322922,5.594796664076444e-05,0.0001285923729021243,0.0003595044556353589,2.9886227840511907e-05,0.0016951792891295862,0.00013253174808643042,-6.172811270629768e-05,6.42079443236435e-05,0.0002246982562100521
19,0,-0.00011250299990604673,8.625267461982007e-06,4.7979873496922806e-05,-0.00020490415956004188,0.0009854627877201616,0.0002012982057570225,8.053164514497625e-05,1.0016130541834448e-05,7.46572728687515e-05,-0.00011839206550850396,0.001470585412108912,0.00033664228737997833,9.78369520361981e-05,-9.268213770739382e-05,-7.875632057167897e-05,0.002464293213555808,0.0005740709269841432,9.757578253006741e-05,-6.329101684771955e-06,0.0030721738855932464,0.00034879160948756387,1.1704471879686223e-05,0.0009765340815134993,0.0002399421060200675,9.162937689516568e-05,0.01622881985131451,0.0017069239372294127,0.0009139500443618461
25,0,-0.0001081133420276491,1.350618276034729e-05,3.4388195179720066e-05,-0.0001937385080463281,0.0005639900009388932,8.12976482667285e-05,6.818653840611823e-05,3.3981344800966874e-06,7.016197570740522e-05,-0.00013571068153790845,0.0008439169349747878,0.0001891338650081395,6.272930792141878e-05,-9.593009995609456e-05,-8.943013411443515e-05,0.001478725210817068,0.0003958418613696072,5.972832321379795e-05,-2.616050640167345e-05,0.0020037721216035927,0.0001620550864837429,-5.9505942588481247e-05,0.0007005861406892837,0.00019837354777975036,6.530137099158824e-05,0.010349278285606322,0.00022865699129982653,0.0006079384104628882
26,0,-0.0001081133420276491,1.350618276034729e-05,3.4388195179720066e-05,-0.0001937385080463281,0.0005639900009388932,8.12976482667285e-05,6.818653840611823e-05,3.3981344800966874e-06,7.016197570740522e-05,-0.00013571068153790845,0.0008439169349747878,0.0001891338650081395,6.272930792141878e-05,-9.593009995609456e-05,-8.943013411443515e-05,0.001478725210817068,0.0003958418613696072,5.972832321379795e-05,-2.616050640167345e-05,0.0020037721216035927,0.0001620550864837429,-5.9505942588481247e-05,0.0007005861406892837,0.00019837354777975036,6.530137099158824e-05,0.010349278285606322,0.00022865699129982653,0.0006079384104628882
33,0,-8.269423286009464e-05,-1.1867852784048857e-06,-0.0001142620007478934,-2.8498375812292907e-05,0.00043084218698422375,0.00035140639538438275,0.00045690297276748996,-1.71381495538944e-05,-6.694740989360945e-05,-0.00016147919234929837,0.00048189649080702875,0.0003739217272747252,0.0005003668952780513,-0.0001173610556774869,-6.717924750099393e-05,0.0011652221569217057,0.0004607456928113406,0.0010343223506484144,-9.289735250602612e-05,0.0021403459644455812,0.0007249823134159299,0.0017518779078164544,0.0005874360957214334,0.0003318249605465604,0.0003968635117928117,0.010886018805542838,0.02605504721360999,0.009538813137139043
34,0,-0.006522407190139454,-0.0003470932821888094,-7.239568377171958e-05,-0.007897156071533618,-3.841082182562581e-05,0.0018548481183026252,5.807422180673173e-05,0.0002960110377865982,-0.0006957936828386337,-0.006652806987818662,-7.104033557676367e-05,0.001440730470414395,-0.00014583914168537387,-0.00046575928573834753,0.0017521016474093046,5.413781174445983e-05,0.001340518414387271,0.0008856320359321699,-0.0030688923342588846,0.00012663784144987855,0.0002988940358199483,0.000379877887963559,4.709323140216864e-06,0.0025740061193459587,-9.456581840061374e-05,-0.00022331056621525028,5.153022688663748e-05,0.0004150807329129388
