Bootstrap Iteration,Records,Positive Targets,SHAP Rank Correlation,Top Feature Overlap,Top Feature Overlap Percentage
1,6881,381,1.0,4,100.0
2,6881,381,0.9761904761904763,4,100.0
3,6881,381,0.9761904761904763,4,100.0
4,6881,381,0.9761904761904763,4,100.0
5,6881,381,0.9761904761904763,4,100.0
6,6881,381,1.0,4,100.0
7,6881,381,1.0,4,100.0
8,6881,381,0.9761904761904763,4,100.0
9,6881,381,1.0,4,100.0
10,6881,381,0.9761904761904763,4,100.0
11,6881,381,1.0,4,100.0
12,6881,381,0.9761904761904763,4,100.0
13,6881,381,0.9761904761904763,4,100.0
14,6881,381,1.0,4,100.0
15,6881,381,1.0,4,100.0
16,6881,381,0.9761904761904763,4,100.0
17,6881,381,0.9761904761904763,4,100.0
18,6881,381,0.9761904761904763,4,100.0
19,6881,381,0.9761904761904763,4,100.0
20,6881,381,1.0,4,100.0
21,6881,381,1.0,4,100.0
22,6881,381,1.0,4,100.0
23,6881,381,1.0,4,100.0
24,6881,381,1.0,4,100.0
25,6881,381,1.0,4,100.0
26,6881,381,1.0,4,100.0
27,6881,381,0.9761904761904763,4,100.0
28,6881,381,0.9761904761904763,4,100.0
29,6881,381,1.0,4,100.0
30,6881,381,1.0,4,100.0
31,6881,381,0.9761904761904763,4,100.0
32,6881,381,0.9761904761904763,4,100.0
33,6881,381,1.0,4,100.0
34,6881,381,0.9761904761904763,4,100.0
35,6881,381,1.0,4,100.0
36,6881,381,1.0,4,100.0
37,6881,381,0.9761904761904763,4,100.0
38,6881,381,1.0,4,100.0
39,6881,381,1.0,4,100.0
40,6881,381,0.9761904761904763,4,100.0
41,6881,381,1.0,4,100.0
42,6881,381,1.0,4,100.0
43,6881,381,1.0,4,100.0
44,6881,381,1.0,4,100.0
45,6881,381,1.0,4,100.0
46,6881,381,1.0,4,100.0
47,6881,381,0.9285714285714287,3,75.0
48,6881,381,0.9761904761904763,4,100.0
49,6881,381,0.9761904761904763,4,100.0
50,6881,381,0.9761904761904763,4,100.0
51,6881,381,0.9761904761904763,4,100.0
52,6881,381,1.0,4,100.0
53,6881,381,0.9761904761904763,4,100.0
54,6881,381,0.9761904761904763,4,100.0
55,6881,381,1.0,4,100.0
56,6881,381,0.9761904761904763,4,100.0
57,6881,381,0.9285714285714287,3,75.0
58,6881,381,0.9761904761904763,4,100.0
59,6881,381,0.9761904761904763,4,100.0
60,6881,381,0.9761904761904763,4,100.0
61,6881,381,1.0,4,100.0
62,6881,381,1.0,4,100.0
63,6881,381,1.0,4,100.0
64,6881,381,0.9761904761904763,4,100.0
65,6881,381,0.9761904761904763,4,100.0
66,6881,381,1.0,4,100.0
67,6881,381,1.0,4,100.0
68,6881,381,1.0,4,100.0
69,6881,381,1.0,4,100.0
70,6881,381,1.0,4,100.0
71,6881,381,1.0,4,100.0
72,6881,381,0.9761904761904763,4,100.0
73,6881,381,0.9761904761904763,4,100.0
74,6881,381,0.9761904761904763,4,100.0
75,6881,381,0.9761904761904763,4,100.0
76,6881,381,1.0,4,100.0
77,6881,381,0.9761904761904763,4,100.0
78,6881,381,0.9761904761904763,4,100.0
79,6881,381,0.9761904761904763,4,100.0
80,6881,381,0.9761904761904763,4,100.0
81,6881,381,1.0,4,100.0
82,6881,381,0.9761904761904763,4,100.0
83,6881,381,1.0,4,100.0
84,6881,381,1.0,4,100.0
85,6881,381,1.0,4,100.0
86,6881,381,1.0,4,100.0
87,6881,381,1.0,4,100.0
88,6881,381,1.0,4,100.0
89,6881,381,1.0,4,100.0
90,6881,381,1.0,4,100.0
91,6881,381,0.9761904761904763,4,100.0
92,6881,381,0.9761904761904763,4,100.0
93,6881,381,0.9761904761904763,4,100.0
94,6881,381,1.0,4,100.0
95,6881,381,0.9761904761904763,4,100.0
96,6881,381,0.9761904761904763,4,100.0
97,6881,381,1.0,4,100.0
98,6881,381,0.9761904761904763,4,100.0
99,6881,381,0.9761904761904763,4,100.0
100,6881,381,0.9761904761904763,4,100.0
101,6881,381,0.9761904761904763,4,100.0
102,6881,381,0.9761904761904763,4,100.0
103,6881,381,1.0,4,100.0
104,6881,381,0.9761904761904763,4,100.0
105,6881,381,1.0,4,100.0
106,6881,381,1.0,4,100.0
107,6881,381,1.0,4,100.0
108,6881,381,1.0,4,100.0
109,6881,381,0.9761904761904763,4,100.0
110,6881,381,1.0,4,100.0
111,6881,381,1.0,4,100.0
112,6881,381,1.0,4,100.0
113,6881,381,0.9761904761904763,4,100.0
114,6881,381,0.9761904761904763,4,100.0
115,6881,381,0.9761904761904763,4,100.0
116,6881,381,1.0,4,100.0
117,6881,381,0.9761904761904763,4,100.0
118,6881,381,1.0,4,100.0
119,6881,381,0.9761904761904763,4,100.0
120,6881,381,1.0,4,100.0
121,6881,381,0.9761904761904763,4,100.0
122,6881,381,1.0,4,100.0
123,6881,381,0.9761904761904763,4,100.0
124,6881,381,1.0,4,100.0
125,6881,381,0.9761904761904763,4,100.0
